"Date","Open","High","Low","Close","Adj.Close","Volume"
"2019-05-01",16580.599609,16604.900391,16493.800781,16502.800781,16502.800781,22086060000
"2019-05-02",16485,16492.900391,16402.199219,16410.900391,16410.900391,25549530000
"2019-05-03",16467.699219,16496.599609,16430,16494.400391,16494.400391,20215710000
"2019-05-06",16332.799805,16493.5,16327.099609,16493.5,16493.5,19720400000
"2019-05-07",16378,16408.5,16317.900391,16357.799805,16357.799805,24884200000
"2019-05-08",16349.099609,16451.400391,16347.200195,16397.400391,16397.400391,21359660000
"2019-05-09",16342.099609,16379,16258.900391,16321.799805,16321.799805,22436830000
"2019-05-10",16278.299805,16351.700195,16139,16297.599609,16297.599609,23358050000
"2019-05-13",16158.200195,16199.900391,16111.299805,16193.400391,16193.400391,23264380000
"2019-05-14",16227.400391,16320.900391,16206.200195,16284.5,16284.5,20537630000
"2019-05-15",16237.799805,16341.299805,16229.700195,16318.099609,16318.099609,20355640000
"2019-05-16",16361.099609,16461.900391,16349.700195,16443.900391,16443.900391,20725070000
"2019-05-17",16383.5,16456.099609,16376.799805,16401.800781,16401.800781,18248910000
"2019-05-21",16383.299805,16426.5,16354.299805,16426.5,16426.5,21895170000
"2019-05-22",16345.799805,16355.099609,16308.799805,16327.400391,16327.400391,19746430000
"2019-05-23",16228.5,16228.5,16105.5,16164.599609,16164.599609,24374220000
"2019-05-24",16221.700195,16251.5,16181.599609,16230,16230,19218850000
"2019-05-27",16241.400391,16346.700195,16238.299805,16346.700195,16346.700195,7331560000
"2019-05-28",16326.900391,16355.5,16266.299805,16297.5,16297.5,39619670000
"2019-05-29",16196,16215.299805,16105,16131.5,16131.5,20679530000
"2019-05-30",16144.900391,16151.599609,16062.5,16089.200195,16089.200195,17120330000
"2019-05-31",15997.700195,16047.400391,15963.299805,16037.5,16037.5,22473020000
"2019-06-03",16053.5,16105.900391,15960.900391,16015.900391,16015.900391,22371880000
"2019-06-04",16075.599609,16166.200195,16027.299805,16166.200195,16166.200195,21111580000
"2019-06-05",16219.5,16224.799805,16128.599609,16212.700195,16212.700195,23059650000
"2019-06-06",16237.400391,16241.599609,16175.099609,16227.799805,16227.799805,16479040000
"2019-06-07",16237.299805,16277.400391,16220.700195,16231,16231,17106630000
"2019-06-10",16234.400391,16262.200195,16201.599609,16216.299805,16216.299805,17257160000
"2019-06-11",16290.099609,16302,16228.200195,16248.799805,16248.799805,17884510000
"2019-06-12",16201.700195,16253.299805,16199.900391,16227.200195,16227.200195,19086430000
"2019-06-13",16261.099609,16267.099609,16213.299805,16239.299805,16239.299805,18428990000
"2019-06-14",16228.099609,16325.400391,16190.900391,16301.900391,16301.900391,17025410000
"2019-06-17",16301.700195,16360.099609,16286.5,16353.5,16353.5,18523820000
"2019-06-18",16451.5,16527.300781,16448.800781,16503.400391,16503.400391,21895300000
"2019-06-19",16515.400391,16529.599609,16492.300781,16511.800781,16511.800781,19008810000
"2019-06-20",16585.900391,16603.900391,16548.400391,16574.800781,16574.800781,23506020000
"2019-06-21",16558.900391,16558.900391,16508.400391,16525.400391,16525.400391,49393900000
"2019-06-24",16527.099609,16547.800781,16506.800781,16523.5,16523.5,19817710000
"2019-06-25",16504.599609,16514.800781,16371.299805,16371.299805,16371.299805,20715860000
"2019-06-26",16393.900391,16393.900391,16302.400391,16312.200195,16312.200195,21105180000
"2019-06-27",16306.700195,16319.599609,16268.200195,16307.700195,16307.700195,17747230000
"2019-06-28",16328.700195,16382.200195,16302.599609,16382.200195,16382.200195,20798050000
"2019-07-02",16463.599609,16472.599609,16381.700195,16471.300781,16471.300781,17823830000
"2019-07-03",16486.699219,16580.599609,16480.400391,16576.199219,16576.199219,14399390000
"2019-07-04",16570.300781,16598.300781,16557.900391,16588.900391,16588.900391,5663740000
"2019-07-05",16529.400391,16547,16469.900391,16542,16542,13377410000
"2019-07-08",16473.300781,16495.300781,16458.5,16463,16463,17237810000
"2019-07-09",16436.699219,16545.199219,16421.699219,16545.199219,16545.199219,15972790000
"2019-07-10",16582,16641.800781,16527.099609,16563.300781,16563.300781,18875120000
"2019-07-11",16563.900391,16568.099609,16525.099609,16527.900391,16527.900391,19058470000
"2019-07-12",16526,16528.400391,16476.400391,16488.099609,16488.099609,16058750000
"2019-07-15",16505.599609,16524.5,16474.900391,16510.800781,16510.800781,14778920000
"2019-07-16",16487,16522,16467.099609,16502.400391,16502.400391,17847290000
"2019-07-17",16509.099609,16534.900391,16469,16484.199219,16484.199219,16561290000
"2019-07-18",16464.900391,16514.5,16445.099609,16494.199219,16494.199219,20371780000
"2019-07-19",16536.900391,16573.699219,16485.5,16485.900391,16485.900391,16430280000
"2019-07-22",16504.900391,16530.300781,16500.900391,16518.900391,16518.900391,13854610000
"2019-07-23",16582.5,16590,16530.199219,16572.699219,16572.699219,14883030000
"2019-07-24",16536.099609,16623.900391,16530.900391,16611.800781,16611.800781,17177880000
"2019-07-25",16613.099609,16613.099609,16458.400391,16488.199219,16488.199219,20950650000
"2019-07-26",16532.800781,16556.5,16521.900391,16531,16531,16719290000
"2019-07-29",16549.400391,16549.400391,16476.300781,16492.199219,16492.199219,18484090000
"2019-07-30",16433.5,16473.900391,16418.5,16466.099609,16466.099609,18141780000
"2019-07-31",16447.300781,16470.5,16282.099609,16406.599609,16406.599609,26548070000
"2019-08-01",16389.199219,16505.900391,16362.200195,16377,16377,30439330000
"2019-08-02",16368.599609,16389.5,16206.400391,16271.700195,16271.700195,24010850000
"2019-08-06",16111,16188.200195,15994.299805,16149.5,16149.5,31736680000
"2019-08-07",16092.700195,16285.900391,16064.299805,16265.200195,16265.200195,27976410000
"2019-08-08",16304.700195,16420.699219,16292.599609,16404.5,16404.5,23099790000
