"ï..Date","Price","Open","High","Low","Vol.","Change.."
"Jul 03, 2019",12616.24,12548.3,12631.81,12545.79,"70.39M","0.71%"
"Jul 02, 2019",12526.72,12546.93,12548.22,12484.26,"68.93M","0.04%"
"Jul 01, 2019",12521.38,12616.34,12619.68,12519.3,"93.74M","0.99%"
"Jun 28, 2019",12398.8,12302.77,12408.22,12297.63,"99.45M","1.04%"
"Jun 27, 2019",12271.03,12308.26,12334.57,12209.34,"85.04M","0.21%"
"Jun 26, 2019",12245.32,12210.52,12315.84,12189.49,"87.53M","0.14%"
"Jun 25, 2019",12228.44,12226.88,12284.57,12213.41,"73.91M","-0.38%"
"Jun 24, 2019",12274.57,12308.11,12341.56,12250.71,"89.76M","-0.53%"
"Jun 21, 2019",12339.92,12351.98,12425.2,12316.41,"210.69M","-0.13%"
"Jun 20, 2019",12355.39,12409.58,12438.37,12355.39,"95.17M","0.38%"
"Jun 19, 2019",12308.53,12321.43,12346.7,12291.19,"104.19M","-0.19%"
"Jun 18, 2019",12331.75,12069.37,12358,11987.55,"153.99M","2.03%"
"Jun 17, 2019",12085.82,12112.47,12124.68,12059.92,"84.99M","-0.09%"
"Jun 14, 2019",12096.4,12124.36,12136.65,12049.76,"70.04M","-0.60%"
"Jun 13, 2019",12169.05,12095.21,12201.78,12079.6,"69.17M","0.44%"
"Jun 12, 2019",12115.68,12093.98,12132.28,12068.11,"69.96M","-0.33%"
"Jun 11, 2019",12155.81,12133.6,12227.4,12117.34,"95.14M","0.92%"
"Jun 07, 2019",12045.38,12003.92,12096.61,11987.17,"80.55M","0.77%"
"Jun 06, 2019",11953.14,11987.92,12076.95,11899.82,"89.56M","-0.23%"
"Jun 05, 2019",11980.81,11981.18,12057.73,11928.87,"81.81M","0.08%"
"Jun 04, 2019",11971.17,11716.55,11987.89,11713.87,"107.67M","1.51%"
"Jun 03, 2019",11792.81,11661.12,11793.63,11620.64,"104.35M","0.56%"
"May 31, 2019",11726.84,11742.21,11755.12,11662.07,"98.49M","-1.47%"
"May 30, 2019",11902.08,11885.07,11924.66,11858.29,"47.89M","0.54%"
"May 29, 2019",11837.81,11906.02,11927.64,11828.75,"90.85M","-1.57%"
"May 28, 2019",12027.05,12100.39,12113.31,11992.41,"121.30M","-0.37%"
"May 27, 2019",12071.18,12077.88,12124.55,12050.49,"43.77M","0.50%"
"May 24, 2019",12011.04,12027.31,12082.05,11990.79,"82.36M","0.49%"
"May 23, 2019",11952.41,12064.29,12082.75,11926.34,"118.10M","-1.78%"
"May 22, 2019",12168.74,12141.46,12211.03,12055.5,"87.12M","0.21%"
"May 21, 2019",12143.47,12111.8,12178.25,12066.9,"90.83M","0.85%"
"May 20, 2019",12041.29,12226.85,12246.5,11993.91,"105.41M","-1.61%"
"May 17, 2019",12238.94,12252.68,12270.89,12150.33,"104.47M","-0.58%"
