"ï..Date","Price","Open","High","Low","Vol.","Change.."
"Apr 09, 2019",26150.58,26243.54,26246.34,26103.14,"244.41M","-0.72%"
"Apr 08, 2019",26341.02,26312.67,26344.65,26246.03,"229.38M","-0.32%"
"Apr 05, 2019",26424.99,26427.56,26487.57,26370.82,"229.55M","0.15%"
"Apr 04, 2019",26384.63,26213.42,26398.9,26212.78,"233.04M","0.64%"
"Apr 03, 2019",26218.13,26238.03,26282.17,26138.47,"271.98M","0.15%"
"Apr 02, 2019",26179.13,26213.55,26221.24,26122.31,"250.94M","-0.30%"
"Apr 01, 2019",26258.42,26075.1,26280.9,26071.69,"295.57M","1.27%"
"Mar 29, 2019",25928.68,25827.31,25949.32,25771.67,"300.62M","0.82%"
"Mar 28, 2019",25717.46,25693.32,25743.41,25576.69,"237.17M","0.36%"
"Mar 27, 2019",25625.59,25676.34,25758.17,25425.27,"270.34M","-0.13%"
"Mar 26, 2019",25657.73,25649.56,25796.29,25544.78,"305.11M","0.55%"
"Mar 25, 2019",25516.83,25490.72,25603.27,25372.26,"303.12M","0.06%"
"Mar 22, 2019",25502.32,25844.65,25877.01,25501.45,"386.51M","-1.77%"
"Mar 21, 2019",25962.51,25688.44,26009.9,25657.78,"335.25M","0.84%"
"Mar 20, 2019",25745.67,25867.79,25929.52,25670.63,"321.98M","-0.55%"
"Mar 19, 2019",25887.38,25987.87,26109.68,25814.92,"342.25M","-0.10%"
"Mar 18, 2019",25914.1,25801.88,25924.77,25785.66,"303.17M","0.25%"
"Mar 15, 2019",25848.87,25720.96,25927.91,25649.7,"616.91M","0.54%"
"Mar 14, 2019",25709.94,25692.31,25752.84,25621.31,"302.79M","0.03%"
"Mar 13, 2019",25702.89,25637.23,25776.49,25571.31,"331.41M","0.58%"
"Mar 12, 2019",25554.66,25600.3,25675.44,25522.17,"312.52M","-0.38%"
"Mar 11, 2019",25650.88,25208,25661.63,25208,"309.79M","0.79%"
"Mar 08, 2019",25450.24,25347.38,25466.14,25252.46,"270.50M","-0.09%"
"Mar 07, 2019",25473.23,25645.45,25645.45,25352.55,"289.14M","-0.78%"
"Mar 06, 2019",25673.46,25818.76,25837.61,25633.71,"256.25M","-0.52%"
"Mar 05, 2019",25806.63,25829.07,25877.15,25725.63,"252.26M","-0.05%"
"Mar 04, 2019",25819.65,26122.19,26155.98,25611.55,"295.51M","-0.79%"
"Mar 01, 2019",26026.32,26019.67,26143.92,25914.37,"289.89M","0.43%"
"Feb 28, 2019",25916,25984.28,26029.21,25896.56,"338.52M","-0.27%"
"Feb 27, 2019",25985.16,25995.6,26039.68,25877.24,"255.38M","-0.28%"
"Feb 26, 2019",26057.98,26051.61,26155.29,25966.01,"257.85M","-0.13%"
"Feb 25, 2019",26091.95,26126.15,26241.42,26080.66,"281.60M","0.23%"
"Feb 22, 2019",26031.81,25906.27,26052.9,25906.27,"279.76M","0.70%"
"Feb 21, 2019",25850.63,25922.41,25938.88,25762.21,"255.71M","-0.40%"
"Feb 20, 2019",25954.44,25872.26,25986.2,25846.48,"287.88M","0.24%"
"Feb 19, 2019",25891.32,25849.85,25961.44,25820.01,"280.62M","0.03%"
"Feb 15, 2019",25883.25,25564.63,25883.72,25564.63,"328.53M","1.74%"
"Feb 14, 2019",25439.39,25460.65,25558.9,25308.09,"313.01M","-0.41%"
"Feb 13, 2019",25543.27,25480.86,25625.95,25480.86,"263.33M","0.46%"
"Feb 12, 2019",25425.76,25152.03,25458.98,25152.03,"278.11M","1.49%"
"Feb 11, 2019",25053.11,25142.81,25196.75,25009.1,"241.70M","-0.21%"
"Feb 08, 2019",25106.33,25042.36,25106.39,24883.04,"248.21M","-0.25%"
"Feb 07, 2019",25169.53,25265.81,25314.26,25000.52,"295.46M","-0.87%"
"Feb 06, 2019",25390.3,25371.57,25439.04,25312.06,"247.59M","-0.08%"
"Feb 05, 2019",25411.52,25287.93,25427.32,25287.65,"310.65M","0.68%"
"Feb 04, 2019",25239.37,25062.12,25239.91,24977.67,"298.54M","0.70%"
"Feb 01, 2019",25063.89,25025.31,25193.15,24982.49,"372.09M","0.26%"
"Jan 31, 2019",24999.67,24954.48,25049.62,24842.09,"507.35M","-0.06%"
"Jan 30, 2019",25014.86,24826.52,25109.62,24790.9,"397.33M","1.77%"
"Jan 29, 2019",24579.96,24519.62,24674.87,24504.04,"330.87M","0.21%"
"Jan 28, 2019",24528.22,24596.98,24596.98,24323.94,"347.17M","-0.84%"
"Jan 25, 2019",24737.2,24687.21,24860.15,24676.75,"376.89M","0.75%"
"Jan 24, 2019",24553.24,24579.96,24626.3,24422.73,"320.17M","-0.09%"
"Jan 23, 2019",24575.62,24577.25,24700.98,24307.17,"318.60M","0.70%"
"Jan 22, 2019",24404.48,24607.76,24607.76,24244.31,"338.48M","-1.22%"
"Jan 18, 2019",24706.35,24534.19,24750.22,24459.03,"372.97M","1.38%"
"Jan 17, 2019",24370.1,24147.09,24474.46,24088.9,"288.59M","0.67%"
"Jan 16, 2019",24207.16,24139.91,24288.61,24119.72,"302.83M","0.59%"
"Jan 15, 2019",24065.59,23914.11,24099.14,23887.93,"291.57M","0.65%"
"Jan 14, 2019",23909.84,23880.53,23964.9,23765.24,"277.56M","-0.36%"
"Jan 11, 2019",23995.95,23940.01,23996.32,23798.16,"262.65M","-0.02%"
"Jan 10, 2019",24001.92,23811.11,24014.78,23703.25,"338.15M","0.51%"
"Jan 09, 2019",23879.12,23844.27,23985.45,23776.56,"324.57M","0.39%"
"Jan 08, 2019",23787.45,23680.32,23864.65,23581.45,"317.42M","1.09%"
"Jan 07, 2019",23531.35,23474.26,23687.74,23301.59,"334.20M","0.42%"
"Jan 04, 2019",23433.16,22894.92,23518.64,22894.92,"396.02M","3.29%"
"Jan 03, 2019",22686.22,23176.39,23176.39,22638.41,"424.24M","-2.83%"
"Jan 02, 2019",23346.24,23058.61,23413.47,22928.59,"321.57M","0.08%"
"Dec 31, 2018",23327.46,23153.94,23333.18,23118.3,"288.83M","1.15%"
"Dec 28, 2018",23062.4,23213.61,23381.88,22981.33,"336.51M","-0.33%"
"Dec 27, 2018",23138.82,22629.06,23138.89,22267.42,"407.94M","1.14%"
"Dec 26, 2018",22878.45,21857.73,22878.92,21712.53,"433.08M","4.98%"
"Dec 24, 2018",21792.2,22317.28,22339.87,21792.2,"308.42M","-2.91%"
